Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search,Date,Time
5735 S Ellis,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying traffic sign and failure to yield to pedestrian crossing,Citation Issued,No,5/4/2016,12:18 PM
5000 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding in school zone,,Verbal Warning,No,5/5/2016,5:36 PM
5400 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,One citation issued for disobeying traffic control device,Citation Issued,No,5/6/2016,9:46 AM
5300 S University,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,5/7/2016,1:21 AM
5500 S University,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Passing in no passing zone and failure to yield to pedestrian in crosswalk,,Verbal Warning,No,5/8/2016,1:01 PM
5837 S Maryland,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,5/9/2016,4:19 PM
5830 S Ellis,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Improper U-Turn,,Verbal Warning,No,5/12/2016,11:27 AM
6300 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,5/13/2016,8:55 AM
5706 S University,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,5/13/2016,5:00 PM
5500 Cornell,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,5/16/2016,8:16 PM
5800 S Greenwood,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,5/17/2016,4:45 PM
5700 Hyde Park Blvd,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,5/17/2016,11:28 PM
5036 S Blackstone,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,5/18/2016,8:31 AM
5100 Dorchester,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Driving with rear door left open,,Verbal Warning,No,5/22/2016,9:11 PM
5050 Lake Shore Drive,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,5/23/2016,10:35 AM
5800 Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,5/23/2016,12:03 PM
5400 Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,5/23/2016,12:28 PM
5200 Lake Park,NATIVE AMERICAN / ALASKAN NATIVE,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,5/23/2016,5:32 PM
5700 S Hyde Park Blvd,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,5/27/2016,10:25 PM
5900 Ellis,HISPANIC,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,5/28/2016,7:11 AM
5500 S Greenwood,HISPANIC,FEMALE,Traffic Sign/Signal,Failed to yield to pedestrian in crosswalk,,Verbal Warning,No,5/29/2016,9:49 AM
5700 S Harper,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,5/29/2016,4:15 PM
5800 S University,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,5/29/2016,9:11 PM
5300 S University,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,5/29/2016,9:44 PM
5700 Woodlawn,ASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,5/30/2016,9:08 PM
1200 E 59th,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,Two citations issued for driving wrong way on one way street and no insurance,Citation Issued,No,5/31/2016,9:03 PM
49th and Kimbark,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,Citation issued for failure to yield,Citation Issued,No,6/2/2016,8:49 AM
5500 S Cornell,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,6/3/2016,11:30 AM
5300 Dorchester,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,6/3/2016,7:22 PM
1755 E 55th,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/3/2016,11:18 PM
6100 Stony Island,HISPANIC,MALE,Equipment,Improper lighting,,Verbal Warning,No,6/4/2016,10:30 PM
5700 University,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,6/5/2016,9:37 PM
5400 Kenwood,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way street,Two citations issued for wrong way on one way street and suspended license,Citation Issued,No,6/6/2016,12:21 AM
