Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search,Date,Time
5900 Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying stop sign and expired driver's license,Citation issued,No,6/14/2016,10:57 PM
1520 S 57th,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,6/15/2016,11:09 AM
5700 S Kimbark,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,One citation issued for disobeying traffic control device,Citation issued,No,6/15/2016,4:33 PM
1200 Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Speed,Driving too fast for conditions,,Verbal Warning,No,6/15/2016,6:27 PM
5200 S Dorchester,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,6/18/2016,10:14 AM
5300 S Berkeley,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/19/2016,12:15 PM
5300 S Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/19/2016,12:39 PM
5300 S Blackstone,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Almost struck pedestrian in crosswalk,,Verbal Warning,No,6/20/2016,11:41 AM
5700 Drexel,ASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/23/2016,6:42 PM
1322 E 57th Street,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,6/24/2016,9:29 AM
5500 S EVERETT,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Subject turned the corner driving erratically,,Verbal Warning,No,6/24/2016,10:35 AM
5726 S KENWOOD,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper lane usage,,Verbal Warning,No,6/25/2016,12:37 PM
5300 S HARPER,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,6/25/2016,2:29 PM
6100 S KIMBARK,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,Two citations issued,Citation issued,No,6/25/2016,4:08 PM
5500 S KIMBARK,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/25/2016,6:04 PM
6229 S KIMBARK,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/26/2016,4:59 PM
5500 S DORCHESTER,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,6/26/2016,5:41 PM
5300 Harper,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Illegal U-Turn with pedestrians in crosswalk,,Verbal Warning,No,6/27/2016,8:09 PM
5000 S Blackstone,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,6/28/2016,10:02 PM
5900 S Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,6/30/2016,12:45 AM
5600 S Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,6/30/2016,2:56 PM
5400 S Hyde Park,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,7/1/2016,12:05 AM
1450 E 55th,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Improper use of electronic communication device,,Verbal Warning,No,7/1/2016,12:48 PM
6300 S Greenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,7/3/2016,9:18 AM
6200 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,7/4/2016,11:25 AM
5730 S Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,7/5/2016,6:57 AM
5600 S Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,7/5/2016,3:04 PM
1010 E 59th,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/5/2016,8:12 PM
6100 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Illegal passing,One citation issued for disobeying traffic control device,Citation Issued,No,7/8/2016,2:48 PM
55th and Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Follow Too Close,Following too closely,,Verbal Warning,No,7/8/2019,10:40 AM
5700 S Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,7/9/2016,11:09 PM
1446 E 55th,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Right turn in front of CTA bus,,Verbal Warning,No,7/10/2016,11:07 AM
4900 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/12/2016,6:05 PM
5400 S Woodlawn,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran red light,One citation issued for expired registration,Citation Issued,No,7/14/2016,10:35 AM
5600 S Stony Island,BLACK / AFRICAN AMERICAN,MALE,Follow Too Close,Following too closely,,Verbal Warning,No,7/14/2016,11:20 PM
4900 S Blackstone,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,Arrested by CPD for DUI and fleeing scene of accident,Arrested by CPD,No,7/16/2016,8:26 PM
5500 S Lake Park,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,7/17/2016,11:36 AM
5800 Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,7/18/2016,1:56 AM
6050 S Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,7/19/2016,7:50 PM
5140 S Lake Park,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,One citation issued for disobeying traffic control device,Citation Issued,No,7/20/2016,11:13 AM
6300 University,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Illegal passing,,Verbal Warning,No,7/20/2016,8:32 PM
6210 Kimbark,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,7/20/2016,11:34 PM
5500 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,Two citations issued for disobeying traffic control device and suspended license,Citation issued,No,7/23/2016,6:03 PM
5600 S Woodlawn,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,7/24/2016,7:27 AM
5900 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,7/24/2016,1:07 PM
5300 S Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,7/26/2016,7:43 AM
5500 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying stop sign and suspended license,Citation issued,No,7/26/2016,12:14 PM
5305 S Blackstone,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,7/30/2016,12:31 PM
5300 S Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran red light,Two citations issued for disobeying traffic signal and no insurance,Citation issued,No,7/30/2016,5:14 PM
5339 S Kimbark,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/1/2016,4:41 PM
6300 S KIMBARK,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper lane usage,,Verbal Warning,No,8/2/2016,10:15
5500 S WOODLAWN,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,8/3/2016,11:12AM
5600 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Failure to signal,,Verbal Warning,No,8/4/2016,9:18 AM
5600 Lake Park,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,8/5/2016,12:44 AM
5700 S Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Driving in opposite lane of traffic,,Verbal Warning,No,8/6/2016,9:38 AM
5400 S Blackstone,BLACK / AFRICAN AMERICAN,MALE,Equipment,Vehicle had obvious mechanical issues (unsafe vehicle),,Verbal Warning,No,8/7/2016,2:44 AM
6300 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/7/2016,3:17 PM
5900 S Kenwood,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/8/2016,4:32 PM
6100 Kimbark,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,8/8/2016,6:05 PM
5600 Stony Island,ASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/8/2016,8:10 PM
6200 Kimbark,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/8/2016,11:15 PM
5100 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,8/9/2016,1:56 PM
4800 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/9/2016,2:19 PM
5700 S Woodlawn,ASIAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,8/10/2016,10:13 AM
6300 S Stony Island,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,8/10/2016,1:14 PM
4800 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/10/2016,5:37 PM
5400 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/11/2016,11:11 AM
6100 Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/11/2016,12:26 PM
5500 S Ellis,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Improper Turn,,Verbal Warning,No,8/11/2016,3:34 PM
6300 Kimbark,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,8/14/2016,9:27 PM
5300 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,8/15/2016,8:18 AM
5430 S Cornell,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/15/2016,9:00 AM
1603 E 55th,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed Stop Sign,Two citations issued,Citation Issued,No,8/16/2016,2:23 PM
6200 S GREENWOOD,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No,8/16/2016,7:18 PM
5300 S HARPER,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper passing/overtaking,Two citations issued,Citation Issued,No,8/17/2016,11:23 PM
5500 S Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,8/19/2016,1:05 PM
1400 E 57th,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/19/2016,8:15 PM
5200 S Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/19/2016,9:39 PM
5500 S Kenwood,HISPANIC,FEMALE,Lane Violation,Illegal right turn,,Verbal Warning,No,8/20/2016,8:10 AM
6225 S Kenwood,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/21/2016,11:30 AM
5500 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/21/2016,3:10 PM
6300 S Ellis,BLACK / AFRICAN AMERICAN,MALE,License Plate/Registration,Improper display of registration plate,,Verbal Warning,No,8/21/2016,10:51 PM
5300 Lake Park,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,Two citations issued for disobeying traffic control device and no valid driver's license,Arrested on warrant,No,8/24/2016,1:29 AM
5489 Cornell Ave,ASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/24/2016,5:30 PM
5489 Cornell Ave,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/24/2016,5:41 PM
5741 S Kenwood,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/25/2016,9:50 AM
6000 Stony Island,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper passing,,Verbal Warning,No,8/25/2016,12:08 PM
5500 S Kenwood,ASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/25/2016,6:38 PM
5400 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/26/2016,1:07 PM
1355 E 53rd,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran two stop signs,,Verbal Warning,No,8/28/2016,12:47 AM
6345 S MARYLAND,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,8/30/2016,11:56 AM
5600 S ELLIS,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Improper U-Turn,,Verbal Warning,No,8/30/2016,6:18 PM
5200 S BLACKSTONE,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,8/30/2016,9;21 PM
5300 S DORCHESTER,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/30/2016,11;56 PM
5600 S ELLIS,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,8/31/2016,3:40 PM
5759 S Kimbark,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,9/2/2016,4:54 PM
5700 S Blackstone,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,9/2/2016,11:38 PM
5600 S Ellis,HISPANIC,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,9/3/2016,12:02 PM
5555 S Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,9/3/2016,1:53 PM
4900 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,9/4/2016,2:56 PM
5300 S Harper,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,9/4/2016,9:50 PM
5500 S Woodlawn,HISPANIC,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,9/5/2016,1:38 AM
5530 S Ellis,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,One citation issued for disobeying traffic control device,Citation issued,No,9/7/2016,4:40 PM
5500 S Greenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,9/8/2016,8:40 AM
1301 E 57th,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,9/8/2016,4:06 PM
5500 S Kimbark,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,9/8/2016,4:17 PM
1100 E Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,Two citations issued for speeding and suspended DL,Citation issued,No,9/10/2016,10:53 AM
1406 E 53rd,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,9/12/2016,12:35 PM
5600 S Ellis,HISPANIC,MALE,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying traffic control device and no valid driver's license,Citation issued,No,9/13/2016,2:43 AM
850 E Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to yield to pedestrian in crosswalk,,Verbal Warning,No,9/16/2016,9:00 AM
5700 S Kimbark,WHITE AMERICAN / CAUCASIAN,MALE,Seatbelt,R/O observed small child hanging out of rear window,,Verbal Warning,No,9/16/2016,4:46 PM
5700 S Kenwood,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,9/16/2016,4:51 PM
945 E 52nd,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,9/19/2016,4:28 PM
5500 S Woodlawn,ASIAN,FEMALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,9/19/2016,5:02 PM
6000 Dorchester,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying traffic control device and suspended license,Citation Issued,No,9/19/2016,6:34 PM
5430 S Lake Park,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,9/21/2016,2:05 PM
5700 S University,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,9/21/2016,4:49 PM
5500 S Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper passing,,Verbal Warning,No,9/21/2016,9:48 PM
1155 E Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,,Verbal Warning,No,9/22/2016,8:15 AM
1200 E Midway Plaisance,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,,Verbal Warning,No,9/22/2016,8:31 AM
1200 E Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Speed,Speeding,,Verbal Warning,No,9/22/2016,8:55 AM
5700 S Blackstone,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,9/22/2016,1:54 PM
6300 S Kimbark,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way road,Two citations issued for wrong way on one way street and no insurance,Citation Issued,No,9/25/16,7:23 AM
5240 S Kenwood,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Improper U-Turn,,Verbal Warning,No,9/25/16,5:18 PM
1463 E 55th,ASIAN,MALE,Lane Violation,Wrong way on one way road,,Verbal Warning,No,9/25/16,7:57 PM
1155 E Midway Plaisance,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,,Verbal Warning,No,9/26/2016,8:52 AM
Woodlawn and Midway Plaisance,WHITE AMERICAN / CAUCASIAN,MALE,Speed,Speeding,,Verbal Warning,No,9/26/2016,9:04 AM
6000 S Woodlawn,HISPANIC,FEMALE,Speed,Speeding,,Verbal Warning,No,9/26/2016,9:22 AM
1255 E Midway Plaisance,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,Two citations issued for speeding and suspended DL,Citation Issued,No,9/27/2016,8:51 AM
6300 S Drexel,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,9/27/2016,11:36 AM
5500 S Ellis,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,9/27/2016,5:06 PM
6200 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying traffic control device and revoked driver's license,Verbal Warning,No,9/27/2016,7:47 PM
5400 Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,9/28/2016,4:51 PM
1318 S 51st,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,9/30/2016,10:39 AM
5400 S Hyde Park,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,10/1/2016,9:41 PM
6026 S Dorchester,ASIAN,FEMALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,10/2/2016,9:01 AM
1359 E 52nd,NATIVE AMERICAN / ALASKAN NATIVE,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,10/2/2016,6:05 PM
E/B Midway Plaisance & Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,10/2/2016,7:40 PM
930 E Midway Plaisance,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,,Verbal Warning,No,10/3/2016,9:00 AM
930 E Midway Plaisance,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,,Verbal Warning,No,10/3/2016,9:45 AM
832 E Midway,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,10/3/2016,1:20 PM
5900 Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying traffic control device and suspended license,Citation issued,No,10/5/2016,12:17 AM
6000 S Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,10/6/2015,8:10 PM
5500 Dorchester,HISPANIC,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,10/8/2016,10:24 PM
6300 Stony Island,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,10/9/2016,8:10 PM
5500 S University,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,10/10/2016,8:28 AM
Midway Plaisance and Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Equipment,Equipment malfunction (alarm),,Verbal Warning,No,10/10/2016,10:15 PM
900 E Midway,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,10/13/2016,2:34 PM
855 E 58th,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,Illegal turn in front of CTA bus,,Verbal Warning,No,10/14/2016,11:38 AM
5100 S East End,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Failure to signal,,Verbal Warning,No,10/15/2016,1:13 AM
5800 S Woodlawn,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,10/15/2016,9:34 AM
6000 S Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding,,Verbal Warning,No,10/15/2016,12:31 PM
5100 S Kenwood,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Failure to signal,,Verbal Warning,No,10/16/2016,12:04 PM
5900 S Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,Two citations issued for disobeying traffic control device and suspended license,Citation Issued,No,10/16/2016,4:27 PM
5000 Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,10/17/2016,9:44 PM
5700 S Kenwood,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,10/18/2016,10:24 AM
5300 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,10/20/2016,3:18 PM
5500 S University,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,10/20/2016,7:38 PM
5727 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,10/22/2016,2:57 PM
5408 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,10/22/2016,5:04 PM
5700 S Kenwood,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,10/30/2016,11:24 AM
5100 S Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,One citation issued for disobeying traffic control device,Citation Issued,No,10/30/2016,12:16 PM
52nd and Drexel,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,11/1/2016,9:00 PM
5900 S Woodlawn,WHITE AMERICAN / CAUCASIAN,FEMALE,Equipment,No license plate,,Verbal Warning,No,11/2/2016,11:50 AM
1216 E Hyde Park Blvd,HISPANIC,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,11/2/2016,3:27 PM
5500 S Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper passing of CTA bus,,Verbal Warning,No,11/3/2016,12:09 AM
1174 E 57th,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No,11/3/2016,4:21 PM
5100 S Kenwood,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,11/3/2016,4:43 PM
